id,adjustment_type,driver_id,highest_finish,is_eligible,points,position,round_id,round_number,season_id,session_id,session_number,win_count,year
425647,0,847,,t,0,1,,1,,5134,4,0,2026
425648,0,857,,t,0,2,,1,,5134,4,0,2026
425649,0,795,,t,0,3,,1,,5134,4,0,2026
425650,0,845,,t,0,4,,1,,5134,4,0,2026
425651,0,864,,t,0,5,,1,,5134,4,0,2026
425652,0,863,,t,0,6,,1,,5134,4,0,2026
425653,0,843,,t,0,7,,1,,5134,4,0,2026
425654,0,873,,t,0,8,,1,,5134,4,0,2026
425655,0,858,,t,0,9,,1,,5134,4,0,2026
425656,0,862,,t,0,10,,1,,5134,4,0,2026
425657,0,838,,t,0,11,,1,,5134,4,0,2026
425658,0,807,,t,0,12,,1,,5134,4,0,2026
425659,0,846,,t,0,13,,1,,5134,4,0,2026
425660,0,841,,t,0,14,,1,,5134,4,0,2026
425661,0,860,,t,0,15,,1,,5134,4,0,2026
425662,0,859,,t,0,16,,1,,5134,4,0,2026
425663,0,763,,t,0,17,,1,,5134,4,0,2026
425664,0,815,,t,0,18,,1,,5134,4,0,2026
425665,0,820,,t,0,19,,1,,5134,4,0,2026
425666,0,831,,f,0,,,1,,5134,4,0,2026
425667,0,847,,t,0,1,,1,,5135,5,0,2026
425668,0,843,,t,0,2,,1,,5135,5,0,2026
425669,0,863,,t,0,3,,1,,5135,5,0,2026
425670,0,857,,t,0,4,,1,,5135,5,0,2026
425671,0,864,,t,0,5,,1,,5135,5,0,2026
425672,0,845,,t,0,6,,1,,5135,5,0,2026
425673,0,795,,t,0,7,,1,,5135,5,0,2026
425674,0,873,,t,0,8,,1,,5135,5,0,2026
425675,0,858,,t,0,9,,1,,5135,5,0,2026
425676,0,862,,t,0,10,,1,,5135,5,0,2026
425677,0,807,,t,0,11,,1,,5135,5,0,2026
425678,0,859,,t,0,12,,1,,5135,5,0,2026
425679,0,838,,t,0,13,,1,,5135,5,0,2026
425680,0,841,,t,0,14,,1,,5135,5,0,2026
425681,0,846,,t,0,15,,1,,5135,5,0,2026
425682,0,860,,t,0,16,,1,,5135,5,0,2026
425683,0,763,,t,0,17,,1,,5135,5,0,2026
425684,0,815,,t,0,18,,1,,5135,5,0,2026
425685,0,820,,t,0,19,,1,,5135,5,0,2026
425686,0,831,,f,0,,,1,,5135,5,0,2026
425687,0,847,,t,0,1,,1,,5136,6,0,2026
425688,0,863,,t,0,2,,1,,5136,6,0,2026
425689,0,864,,t,0,3,,1,,5136,6,0,2026
425690,0,843,,t,0,4,,1,,5136,6,0,2026
425691,0,857,,t,0,5,,1,,5136,6,0,2026
425692,0,845,,t,0,6,,1,,5136,6,0,2026
425693,0,795,,t,0,7,,1,,5136,6,0,2026
425694,0,858,,t,0,8,,1,,5136,6,0,2026
425695,0,873,,t,0,9,,1,,5136,6,0,2026
425696,0,862,,t,0,10,,1,,5136,6,0,2026
425697,0,807,,t,0,11,,1,,5136,6,0,2026
425698,0,859,,t,0,12,,1,,5136,6,0,2026
425699,0,838,,t,0,13,,1,,5136,6,0,2026
425700,0,841,,t,0,14,,1,,5136,6,0,2026
425701,0,846,,t,0,15,,1,,5136,6,0,2026
425702,0,860,,t,0,16,,1,,5136,6,0,2026
425703,0,763,,t,0,17,,1,,5136,6,0,2026
425704,0,815,,t,0,18,,1,,5136,6,0,2026
425705,0,820,,t,0,19,,1,,5136,6,0,2026
425706,0,831,,f,0,,,1,,5136,6,0,2026
425707,0,847,1,t,25,1,1174,1,,5137,7,1,2026
425708,0,863,2,t,18,2,1174,1,,5137,7,0,2026
425709,0,843,3,t,15,3,1174,1,,5137,7,0,2026
425710,0,795,4,t,12,4,1174,1,,5137,7,0,2026
425711,0,845,5,t,10,5,1174,1,,5137,7,0,2026
425712,0,831,6,t,8,6,1174,1,,5137,7,0,2026
425713,0,859,7,t,6,7,1174,1,,5137,7,0,2026
425714,0,873,8,t,4,8,1174,1,,5137,7,0,2026
425715,0,862,9,t,2,9,1174,1,,5137,7,0,2026
425716,0,841,10,t,1,10,1174,1,,5137,7,0,2026
425717,0,838,11,t,0,11,1174,1,,5137,7,0,2026
425718,0,846,12,t,0,12,1174,1,,5137,7,0,2026
425719,0,858,13,t,0,13,1174,1,,5137,7,0,2026
425720,0,860,14,t,0,14,1174,1,,5137,7,0,2026
425721,0,830,15,t,0,15,1174,1,,5137,7,0,2026
425722,0,815,16,t,0,16,1174,1,,5137,7,0,2026
425723,0,864,,t,0,17,1174,1,,5137,7,0,2026
425724,0,857,,t,0,18,1174,1,,5137,7,0,2026
425725,0,807,,t,0,19,1174,1,,5137,7,0,2026
425726,0,763,,t,0,20,1174,1,,5137,7,0,2026
425727,0,820,,t,0,21,1174,1,,5137,7,0,2026
425728,0,840,,f,0,,1174,1,,5137,7,0,2026
425729,0,847,1,t,33,1,,2,,5142,5,1,2026
425730,0,863,2,t,22,2,,2,,5142,5,0,2026
425731,0,843,3,t,22,3,,2,,5142,5,0,2026
425732,0,795,4,t,18,4,,2,,5142,5,0,2026
425733,0,845,5,t,15,5,,2,,5142,5,0,2026
425734,0,831,6,t,8,6,,2,,5142,5,0,2026
425735,0,859,7,t,7,7,,2,,5142,5,0,2026
425736,0,873,8,t,4,8,,2,,5142,5,0,2026
425737,0,857,,t,3,9,,2,,5142,5,0,2026
