id,adjustment_type,highest_finish,is_eligible,points,position,round_id,round_number,season_id,session_id,session_number,team_id,win_count,year
197289,0,,t,0,1,,1,,5134,4,191,0,2026
197290,0,,t,0,2,,1,,5134,4,141,0,2026
197291,0,,t,0,3,,1,,5134,4,64,0,2026
197292,0,,f,0,,,1,,5134,4,6,0,2026
197293,0,,f,0,,,1,,5134,4,207,0,2026
197294,0,,f,0,,,1,,5134,4,48,0,2026
197295,0,,f,0,,,1,,5134,4,210,0,2026
197296,0,,f,0,,,1,,5134,4,211,0,2026
197297,0,,f,0,,,1,,5134,4,117,0,2026
197298,0,,f,0,,,1,,5134,4,215,0,2026
197299,0,,f,0,,,1,,5134,4,216,0,2026
197300,0,,t,0,1,,1,,5135,5,191,0,2026
197301,0,,t,0,2,,1,,5135,5,141,0,2026
197302,0,,t,0,3,,1,,5135,5,64,0,2026
197303,0,,f,0,,,1,,5135,5,6,0,2026
197304,0,,f,0,,,1,,5135,5,207,0,2026
197305,0,,f,0,,,1,,5135,5,48,0,2026
197306,0,,f,0,,,1,,5135,5,210,0,2026
197307,0,,f,0,,,1,,5135,5,211,0,2026
197308,0,,f,0,,,1,,5135,5,117,0,2026
197309,0,,f,0,,,1,,5135,5,215,0,2026
197310,0,,f,0,,,1,,5135,5,216,0,2026
197311,0,,t,0,1,,1,,5136,6,191,0,2026
197312,0,,t,0,2,,1,,5136,6,215,0,2026
197313,0,,t,0,3,,1,,5136,6,141,0,2026
197314,0,,t,0,4,,1,,5136,6,64,0,2026
197315,0,,f,0,,,1,,5136,6,6,0,2026
197316,0,,f,0,,,1,,5136,6,207,0,2026
197317,0,,f,0,,,1,,5136,6,48,0,2026
197318,0,,f,0,,,1,,5136,6,210,0,2026
197319,0,,f,0,,,1,,5136,6,211,0,2026
197320,0,,f,0,,,1,,5136,6,117,0,2026
197321,0,,f,0,,,1,,5136,6,216,0,2026
197322,0,1,t,43,1,1174,1,,5137,7,48,1,2026
197323,0,3,t,27,2,1174,1,,5137,7,6,0,2026
197324,0,5,t,10,3,1174,1,,5137,7,117,0,2026
197325,0,6,t,8,4,1174,1,,5137,7,191,0,2026
197326,0,7,t,6,5,1174,1,,5137,7,207,0,2026
197327,0,8,t,4,6,1174,1,,5137,7,211,0,2026
197328,0,9,t,2,7,1174,1,,5137,7,215,0,2026
197329,0,10,t,1,8,1174,1,,5137,7,210,0,2026
197330,0,12,t,0,9,1174,1,,5137,7,141,0,2026
197331,0,16,t,0,10,1174,1,,5137,7,216,0,2026
197332,0,,t,0,11,1174,1,,5137,7,64,0,2026
197333,0,1,t,55,1,,2,,5142,5,48,1,2026
197334,0,3,t,40,2,,2,,5142,5,6,0,2026
197335,0,5,t,18,3,,2,,5142,5,117,0,2026
197336,0,6,t,8,4,,2,,5142,5,191,0,2026
197337,0,7,t,7,5,,2,,5142,5,207,0,2026
197338,0,8,t,6,6,,2,,5142,5,211,0,2026
197339,0,9,t,2,7,,2,,5142,5,215,0,2026
197340,0,10,t,1,8,,2,,5142,5,210,0,2026
197341,0,12,t,0,9,,2,,5142,5,141,0,2026
197342,0,16,t,0,10,,2,,5142,5,216,0,2026
197343,0,,t,0,11,,2,,5142,5,64,0,2026
197344,0,1,t,55,1,,2,,5143,6,48,1,2026
197345,0,3,t,40,2,,2,,5143,6,6,0,2026
197346,0,5,t,18,3,,2,,5143,6,117,0,2026
197347,0,6,t,8,4,,2,,5143,6,191,0,2026
197348,0,7,t,7,5,,2,,5143,6,207,0,2026
197349,0,8,t,6,6,,2,,5143,6,211,0,2026
197350,0,9,t,2,7,,2,,5143,6,215,0,2026
197351,0,10,t,1,8,,2,,5143,6,210,0,2026
197352,0,12,t,0,9,,2,,5143,6,141,0,2026
197353,0,16,t,0,10,,2,,5143,6,216,0,2026
197354,0,,t,0,11,,2,,5143,6,64,0,2026
197355,0,1,t,55,1,,2,,5144,7,48,1,2026
197356,0,3,t,40,2,,2,,5144,7,6,0,2026
197357,0,5,t,18,3,,2,,5144,7,117,0,2026
197358,0,6,t,8,4,,2,,5144,7,191,0,2026
197359,0,7,t,7,5,,2,,5144,7,207,0,2026
197360,0,8,t,6,6,,2,,5144,7,211,0,2026
197361,0,9,t,2,7,,2,,5144,7,215,0,2026
197362,0,10,t,1,8,,2,,5144,7,210,0,2026
197363,0,12,t,0,9,,2,,5144,7,141,0,2026
197364,0,16,t,0,10,,2,,5144,7,216,0,2026
197365,0,,t,0,11,,2,,5144,7,64,0,2026
197366,0,1,t,55,1,,2,,5145,8,48,1,2026
197367,0,3,t,40,2,,2,,5145,8,6,0,2026
197368,0,5,t,18,3,,2,,5145,8,117,0,2026
197369,0,6,t,8,4,,2,,5145,8,191,0,2026
197370,0,7,t,7,5,,2,,5145,8,207,0,2026
197371,0,8,t,6,6,,2,,5145,8,211,0,2026
197372,0,9,t,2,7,,2,,5145,8,215,0,2026
197373,0,10,t,1,8,,2,,5145,8,210,0,2026
197374,0,12,t,0,9,,2,,5145,8,141,0,2026
197375,0,16,t,0,10,,2,,5145,8,216,0,2026
197376,0,,t,0,11,,2,,5145,8,64,0,2026
197377,0,1,t,8,1,65,1,,193,3,7,1,1958
